"articles/title","articles/body"
"",""
"Что такое Tangem Note?","<p>Tangem Note — самый простой в использовании одновалютный аппаратный кошелек для 6 популярных криптовалют: BTC, ETH, BNB, XRP, ADA и DOGE.</p>
<p>С помощью Tangem Note можно покупать, хранить, продавать и пересылать криптовалюту в своей родной сети всего за несколько действий. А можно просто передать Note с нужной суммой в обмен на товар или просто в подарок — точно так же, как обычную бумажную банкноту. Если вы хотите пригласить свою семью или друзей в мир криптовалют, Tangem Note — идеальный выбор.</p>
<p>Никто, кроме владельца, не имеет доступа к кошельку. Карта генерирует уникальный ключ в момент ее активации в приложении Tangem пользователем. Этот ключ никогда не покидает карту и не известен никому, включая Tangem.</p>
<p>Карты Tangem Note могут подписывать бесконечное количество транзакций. Все, что вам нужно, — это NFC-смартфон, приложение Tangem и Tangem Note.</p>"
"Как я могу использовать Tangem Wallet?","<p>С помощью карты Tangem Wallet вы можете:</p>
<p>— проверить подлинность карты и увидеть балансы криптовалют;</p>
<p>— посмотреть блокчейн-адреса;</p>
<p>— отправлять криптовалюту на другие карты Tangem и/или блокчейн-кошельки;</p>
<p>— отправлять криптовалюту организациям, которые принимают оплату в криптовалюте.</p>"
"Можно ли картой Tangem оплатить покупку в магазине через терминал?","<p>Карты Tangem не являются платежными картами, такими как Visa или Mastercard. Если продавец поддерживает оплату в криптовалюте, вы сможете перевести средства на его адрес и оплатить товар или услугу. Но если вы имеете в виду использование карты по аналогии с банковской картой, то это пока не поддерживается.</p>"
"Что отличает карты Tangem от остальных холодных кошельков?","<p>Кошелек Tangem — самый защищенный в мире, об этом свидетельствуют сертификация чипа Common Criteria EAL6+ и аудит прошивки от Kudelski Security. Это единственный в мире аппаратный кошелек с рейтингом защиты от условий окружающей среды IP68. Во время сканирования карты при создании кошелька, на ней генерируется приватный ключ, который впоследствии не покидает карту. Это исключает возможность раскрытия ключа третьим лицам — он хранится только в чипе карты и не известен никому. Даже владельцу кошелька.</p>"
"Какие технические требования необходимы к устройствам iOS/Android для использования кошелька?","<p>Вы можете использовать любое мобильное устройство с операционной системой Android выше 6.0 либо iOS 14.5 и выше, которое имеет полноценную поддержку NFC, кроме iPhone 6/6s и iPhone SE (1-го поколения). </p>
<p>Обратите внимание, что на iPhone 7/7 Plus и некоторых моделях на базе Android нет полноценной поддержки NFC, что не позволяет передать нужный при активации объем информации. В таком случае сделать бэкап (резервное копирование ключа) на вашем телефоне не получится. Но вы можете воспользоваться любым другим телефоном (iPhone 8 и выше или Android выше 6.0 с полноценной поддержкой NFC) для создания бэкапа, после чего продолжить пользоваться своим устройством. <br>На устройствах, на которых установлена кастомная прошивка (измененная не производителем), полноценная работа приложения не гарантируется. <br><br></p>"
"Есть ли возможность использовать кошелек с ПК или планшетом?","<p>Нет, поскольку в планшете и ПК нет NFC-модуля. Вы можете использовать любое мобильное устройство с поддержкой NFC на базе Android либо iOS, кроме iPhone 6/6s и iPhone SE (1-го поколения).</p>"
"Где я могу скачать приложение Tangem?","<p>Приложение Tangem доступно для скачивания в <a class=""notion-link-token notion-enable-hover"" href=""https://apps.apple.com/ru/app/tangem/id1354868448"" target=""_blank"" rel=""noopener noreferrer"" data-token-index=""1""><span class=""link-annotation-unknown-block-id--498806928"">App Store</span></a>, <a class=""notion-link-token notion-enable-hover"" href=""https://play.google.com/store/apps/details?id=com.tangem.wallet"" target=""_blank"" rel=""noopener noreferrer"" data-token-index=""3""><span class=""link-annotation-unknown-block-id-2086396670"">Google Play</span></a> и на <a class=""notion-link-token notion-enable-hover"" href=""https://github.com/tangem/tangem-binaries"" target=""_blank"" rel=""noopener noreferrer"" data-token-index=""5""><span class=""link-annotation-unknown-block-id-1402253191"">GitHub</span></a>.</p>"
"Почему не могу скачать приложение в Google Play?","<p>Вероятно, ваше Android устройство не имеет полноценной поддержки NFC, поэтому возможность скачивания приложения в магазине недоступна. В данной ситуации вам необходимо использовать любое другое устройство (iPhone 8 и выше или любой Android выше 6.0 с полноценной поддержкой NFC).</p>"
"Где скачать APK-файл для Android?","<p>Вы можете скачать APK-файл приложения Tangem с GitHub и установить себе на телефон по <a class=""notion-link-token notion-enable-hover"" href=""https://github.com/tangem/tangem-binaries/raw/master/app-release.apk"" target=""_blank"" rel=""noopener noreferrer"" data-token-index=""1""><span class=""link-annotation-unknown-block-id--249423445"">ссылке</span></a>.</p>"
